firmware_protocol	representative_pid	device	version	file	bytes	sha256	archive_check	manifest_target	payload_types	result
4	0b0e:0843	Jabra Link 43	1.5.0	Jabra_Link_43_1.5.0.zip	70491	5b5df5d632631934489cc87d5388a3c7c3a04a51579f3e4c0878f19e428b380c	zip_ok	0x0842	hex	ok
4	0b0e:0852	Jabra Link 860	1.7.0	Jabra_LINK_860_1.7.0.zip	89223	56afb22e234cfdbdcbd659f9e26d4d25702494d88e8bd5a99676b15b58936068	zip_ok	0x0853	hex	ok
1	0b0e:090a	Jabra BIZ 2400 USB Duo	1.45.0	Jabra_BIZ_2400_USB-1-45-0.dfu	790728	052af326981453416a584e10d235bec8696e0145b847771d9ae01f8238827f7e	not_zip			ok
1	0b0e:0910	Jabra Link 280	1.43.0	Jabra_LINK_280_USB-1-43-0.dfu	787606	7e6a7d06e2303a924b039e9f91f35f5a1454dc7da36ec459614b8d40c6dfc836	not_zip			ok
1	0b0e:0949	Jabra Speak 450 Cisco	1.2.0	Jabra_SPEAK_450_Cisco_USB-1-2-0.dfu	1013240	7a85092bce17822d0e5772a665d1992cc698e6a12888ceb4ae4e29195f0219e5	not_zip			ok
4	0b0e:0e30	Jabra Evolve2 30	1.7.0	Jabra_Evolve2_30_1.7.0.zip	2179352	eb380719bdac2620aef233f57e3f1f7f61738e121cdd88340f8702a476ec5bec	zip_ok	0x0E34	hex	ok
4	0b0e:0e36	Jabra Evolve2 30 SE	1.11.0	Jabra_Evolve2_30_SE_1.11.0.zip	2180843	f85fd55a6bcecdb078688e09a719f490ff89cf15ea34c7f932b5354645620ff8	zip_ok	0x0E3A	hex	ok
4	0b0e:0e40	Jabra Evolve2 40	2.11.1	Jabra_Evolve2_40_2.11.1.zip	2218228	e61bf0c016d9e221c0d0f72a207b3e4aa4d29ab20bb463ecf7539216ea9c103d	zip_ok	0x0E44	hex	ok
4	0b0e:1016	Jabra PRO 920 / 930	2.32.0	Jabra_920_930_2.32.0.zip	1234946	31bf2e6f8234fdbe295d9359ede22f2c98c4ea49e81073eaa1a70a27b462cdab	zip_ok	0x1015	hex,bin	ok
4	0b0e:1021	Jabra PRO 9450	4.7.0	Jabra_PRO_9450_4.7.0.zip	777235	2176d7da130d8c6f1591550c2e20b8bc3473080b620230082b3821da047eec07	zip_ok	0x1020	hex	ok
4	0b0e:1037	Jabra PRO 925 / 935	1.8.2	Jabra_PRO_925_935_1.8.2.zip	5665317	82738b69e0ace1652de91a9c0f155a73a6fb4e2d7dffb41802a3ed68a0592704	zip_ok	0x1036	bin,psr,xpv,xdv	ok
4	0b0e:1041	Jabra PRO 9460 / 9465 / 9470	4.7.0	Jabra_PRO_9460_9465_9470_4.7.0.zip	5891134	0b6655ad43b38e33b0e051e27e7f2cbd9477ad4108d9a9d1cf1e26e9c475026d	zip_ok	0x1040	hex,xpv,xdv	ok
4	0b0e:1110	Jabra Engage 75	5.20.1	Jabra_Engage_75_5.20.1.zip	11357726	210d0402470502aa28716a98a67a4343e6f29d98f0b7681b676e66a12d2c3a98	zip_ok	0x1111	hex,psr,xpv,xdv	ok
12	0b0e:1116	Jabra Engage 55	5.19.3	Jabra_Engage_HS_5.19.3.zip	3498199	7f3945d975964fd88db3cdb5d7bce1a2919a175077af1a83d70b9613c8cb4ffc	zip_ok	0x1116	hex	ok
4	0b0e:1118	Jabra Engage 65	5.19.3	Jabra_Engage_65_5.19.3.zip	7585375	a719b45baa08a13a34465d64079fce189f19c38ef8aa8c619333de58a8cf2dfa	zip_ok	0x1119	hex	ok
4	0b0e:1126	Jabra Engage 45 SE	5.19.3	Jabra_Engage_45_se_5.19.3.zip	7562118	b9edc6180935bb91a821c4e1a35e1826b3721a2b3abee63bf4bc3d2205b5b207	zip_ok	0x1125	hex	ok
4	0b0e:1131	Jabra Link 400	1.16.1	Jabra_Link_400_1.16.1.zip	2846407	9e00e02e2a8c5330b95f5094215b4b2c7636946c0913c2f0eb33686cc4942f97	zip_ok	0x1130	hex	ok
4	0b0e:2301	Jabra BIZ 2300 USB	3.3.0	Jabra_BIZ_2300_3.3.0.zip	119022	a8b584c075071eed30c193e565d6a0d7cd2599db975ba6db430ee0891d38d69a	zip_ok	0x2300	hex	ok
